activity_type,begintimestamp,duration,startLatitude,startLongitude,endtimestamp,Date
cycling,2023-09-19 17:54:43.000,00:16:14,46.515392856672406,6.6028740629553795,2023-09-19 18:10:57,2023-09-19
running,2023-09-19 16:47:29.000,00:45:01,46.514660278335214,6.601248057559133,2023-09-19 17:32:30,2023-09-19
cycling,2023-09-18 11:21:35.000,00:24:40,46.50890258140862,6.669360576197505,2023-09-18 11:46:15,2023-09-18
lap_swimming,2023-09-18 10:09:57.000,00:44:22,,,2023-09-18 10:54:19,2023-09-18
hiking,2023-09-10 05:25:09.000,02:14:01,68.12968720681965,24.056005273014307,2023-09-10 07:39:10,2023-09-10
hiking,2023-09-09 08:13:00.000,05:10:25,68.28132212162018,23.86865389533341,2023-09-09 13:23:25,2023-09-09
hiking,2023-09-08 07:37:59.000,04:45:02,68.39500579051673,23.665709411725402,2023-09-08 12:23:01,2023-09-08
cycling,2023-08-27 17:19:50.000,01:06:02,46.52770193293691,6.648542694747448,2023-08-27 18:25:52,2023-08-27
hiking,2023-08-23 11:58:16.000,03:14:40,46.203943798318505,6.8239992298185825,2023-08-23 15:12:56,2023-08-23
cycling,2023-08-22 09:15:00.000,03:30:27,46.23706019483507,6.862076288089156,2023-08-22 12:45:27,2023-08-22
cycling,2023-08-16 15:21:07.000,01:36:29,46.552333664149046,6.626323778182268,2023-08-16 16:57:36,2023-08-16
lap_swimming,2023-08-14 15:12:06.000,00:19:27,,,2023-08-14 15:31:33,2023-08-14
cycling,2023-08-13 16:33:39.000,01:20:44,46.660588290542364,6.515006823465228,2023-08-13 17:54:23,2023-08-13
cycling,2023-08-13 07:38:25.000,03:09:17,46.524312207475305,6.6477252915501595,2023-08-13 10:47:42,2023-08-13
lap_swimming,2023-08-10 15:48:31.000,00:21:36,,,2023-08-10 16:10:07,2023-08-10
running,2023-08-08 17:23:42.000,01:00:48,46.52394893579185,6.649399576708674,2023-08-08 18:24:30,2023-08-08
cycling,2023-08-07 16:22:22.000,01:57:46,46.524163177236915,6.648080600425601,2023-08-07 18:20:08,2023-08-07
running,2023-07-30 16:37:27.000,01:16:14,44.730171198025346,-1.2169416155666113,2023-07-30 17:53:41,2023-07-30
running,2023-07-27 12:10:24.000,00:34:08,44.730271277949214,-1.2171064876019955,2023-07-27 12:44:32,2023-07-27
